# = BASIC =============================================================
# QUERY:         [lemma="a(n)?"][tag="NN"][lemma="be"][word="something"][word="that"][word="you"]
# CORPUS:        encow16a
# SUBCORPUS:     None
# = CONFIG ============================================================
# MAX_HITS:      -1
# RANDOM_SUBSET: -1
# ATTRIBUTES:    word
# STRUCTURES:    
# REFERENCES:    doc.url
# CONTAINER:     s
# CNT_LEFT:      0
# CNT_RIGHT:     0
# DEDUPING:      True
# = CONCORDANCE TSV ===================================================
doc.url	left.context	match	right.context
http://www.scientificcomputing.com/news/2014/05/custom-camouflage-patterns-mit-algorithms-could-hide-public-eyesores?et_cid=3961599%26et_rid=82444146%26type=cta	Conceptually , a cue that would be good for detecting	an object is something that you	want to remove .
http://billmoyers.com/content/bryan-stevenson-and-michelle-alexander		An addiction is something that you	ca n't control .
http://deadmanshand.ca/brand/canada.asp?id=524		A talent is something that you	are born with , and a skill is something that you learn .
http://homeguides.sfgate.com/escheat-process-6814.html	Donating real estate to	a city is something that you	can do ...
http://joshreads.com/?p=21405	Planning an elaborate trick to play on a child to teach her	a lesson is something that you	see in wacky movies and sitcoms , but not something I 'd expect to see in " Rex Morgan " .
http://newafricaradio.com/articles/12-23-77.html		An angel is something that you	ca n't see physically .
http://www.printware.co.uk/Blog/282/Print-Your-Facebook-Photos-With-Kodak-Kiosk.html	Remember when	a photograph was something that you	held in your hand , looked at in an album , admired in a frame ?
http://www.westnet.com/~chris/arcade/SpaceWar/spacewar1.html	In short ,	a computer was something that you	simply did not sit down and fool around with .
http://www.purifymind.com/Om13.htm		A lasso is something that you	use to tie things , like tying an animal to a stick , post or hook .
http://kigrecords.net/groups/how-to-identify-a-faux-opal	Shortening	a necklace is something that you	will frequently do if your necklace has a pendant on it .
http://automattic.com/code/widgets/use		A widget is something that you	might want on your sidebar , such as a category list or the most recent comments or a link to your admin pages .
http://www.howto.co.uk/business/rural-business/countryside_survival_skills	Thinking around	a problem is something that you	're going to have to get used to .
http://www.savingadvice.com/articles/2013/04/04/1014641_10-things-worth-splurging-on.html		A mattress is something that you	'll be using every day , so you should spend a little more money on a quality mattress .
http://www.ciao.co.uk/Another_year_another_set_of_New_Year_s_Resolutions_What_will_yours_be_this_year__Review_5809508	I 'm not one to use the word resolutions as to me	a resolution is something that you	so often make but end up breaking so I prefer to use the term " Aims and Goals " .
http://bryanquigley.com/tag/planet-ubuntu/page/10		A bug is something that you	can help find so that Mozilla can fix it .
http://www.macrobusiness.com.au/2011/12/from-bad-to-worse-for-the-imf		A religion is something that you	can choose .
http://www.ultimatedallas.com/dallasinterviews/joan.htm	James : And so obviously the preparation of	a role is something that you	love and is really important to you .
http://forum.novatech.co.uk/archive/index.php/t-11211.html?s=ed9998f5dedee8f7d3454841dc78c853	In my opinion if cable management in	a PC is something that you	take seriously then you probably wont buy a ready made system and if you buy one of these and decide to upgrade any components then that is when you may decide that you want to arrange the cables your own way .
http://conservapedia.com/Debate%3AAtheism_vs._Pastafarianism		A possibility is something that you	consider possible , but do n't necessarily believe to be the case ( but do n't reject either ) .
http://conservapedia.com/Debate%3AAtheism_vs._Pastafarianism		An assumption is something that you	do believe , even if you do so without complete certainty .
http://www.howto.co.uk/property/home-safety-security/introduction_45		A countermeasure is something that you	can do to improve your safety and security .
http://www-h.eng.cam.ac.uk/help/importedHTML/languages/java/javanotes5.0.2/c8/s2.html		A precondition is something that you	want to be true .
http://www.sladdens.co.uk/APBlog/index.php?What-you-need-to-consider-when-hiring-a-plumber%26bId=1257	In essence , hiring	a plumber is something that you	need to give some consideration to .
http://listentothepeople.co.uk/uk-political-blog.html?start=27		An investment is something that you	can cash in and get back what you put in , and you expect to get back more .
