# = BASIC =============================================================
# QUERY:         [lemma="a(n)?"][tag="NN"][lemma="look" & tag!="N*"][lemma="like"]
# CORPUS:        encow16a
# SUBCORPUS:     None
# = CONFIG ============================================================
# MAX_HITS:      -1
# RANDOM_SUBSET: -1
# ATTRIBUTES:    word
# STRUCTURES:    
# REFERENCES:    doc.url
# CONTAINER:     s
# CNT_LEFT:      0
# CNT_RIGHT:     0
# DEDUPING:      True
# = CONCORDANCE TSV ===================================================
doc.url	left.context	match	right.context
http://travelmag.co.uk/?p=1707	Our parade of little wooden canoes passes two boys who dive naked in and out of the brown water as	a snake looking like	a tiny mythological serpent swims alarmingly close by .
http://www.rnpatrolservice.org.uk/forum/viewtopic.php?f=5%26t=516%26p=1628%26sid=1859745f85ad9309bfb12481f8dba338	looks like " Fortitide ( andre et Louis ) " there is	a line looks like	" Narbel (?) ( Parent Help ) " - difficult to work out the handwriting there is a line looks like " jrwell ( MMS 288 ) " Any info and help would be appreciated .
http://www.xojane.com/issues/tell-a-feminist-thank-you	IS this what	a feminist looks like	?
http://www.anvilfire.com/FAQs/archives/g082004a.htm	Besides , we know what	a mask looks like	.
http://www.blog.schools.co.uk/2009/10	What does	a lesson look like	?
http://www.zeldman.com/2007/06/08/e-mail-is-not-a-platform-for-design	I suspect that has something to do with designers understanding that design is n't just what	a thing looks like	but how it works , how the end user actually engages with the thing , whereas the marketers get all twitterpated by veneer .
http://dailysciencefiction.com/science-fiction/other-worlds-sf/lavie-tidhar/butterfly-and-the-blight-at-the-heart-of-the-world	She knew what	a crab looked like	on that other place , that distant place from which they 'd come ; and guessed that it was easier to call a new creature with a familiar name .
http://funnies.paco.to/content/view/149/1	Planners , who have n't the faintest idea what	an elephant looks like	or where it lives , will nonetheless plan a perfect utopia .
http://www.public.asu.edu/%7Ejqerics/alto-tenor-FAQ.html	I believe though that Hindmith in fact had in mind the oval-form Althorn , here illustrated , which at	a glance looks like	a small Wagner tuba and would have been familar to him in the brass bands of his youth .
http://www.antipope.org/charlie/blog-static/2010/03/cmap-6-why-did-you-pick-such-a.html	Then a few get chosen as potential final candidates and then the marketing people have their shot at it , so the designers often have much , much less influence on what	a cover looks like	than you might think ... the Halting State cover was actually one of the super rare occasions were a designer 's idea went through rather unchanged .
http://www.undiscoveredscotland.co.uk/strathmiglo/strathmiglo/index.html	What from	a distance looks like	a stone imitation of a lamp , angled off to one side , is actually a sundial .
http://www.scism.lsbu.ac.uk/inmandw/past/9697/projects/rep119/prj119.html	I certainly would not like to replicate any of the ideas here ; if anything they are a prime example of what not to make	an interface look like	.
